sample	sex_stage	origin	rep	exper	batch	host
female_invitro1	female	invitro	1	2	2	human
female_invitro2	female	invitro	2	2	2	human
female_invitro3	female	invitro	3	2	2	human
female_invitro4	female	invitro	4	2	2	human
female_invivo1	female	invivo	1	3	2	mouse
female_invivo2	female	invivo	2	3	2	mouse
female_invivo3	female	invivo	3	3	2	mouse
female_invivo4	female	invivo	4	3	2	mouse
asexual_invitro1	asexual	invitro	1	2	2	human
asexual_invitro2	asexual	invitro	2	2	2	human
asexual_invitro3	asexual	invitro	3	2	2	human
asexual_invitro4	asexual	invitro	4	2	2	human
crypto_sporo_rep1	sporozoite	invivo	1	1	1	NA
crypto_sporo_rep2	sporozoite	invivo	2	1	1	NA
crypto_sporo_rep3	sporozoite	invivo	3	1	1	NA
crypto_24hr_rep1	asexual	invitro	1	1	1	human
crypto_24hr_rep2	asexual	invitro	2	1	1	human
crypto_24hr_rep3	asexual	invitro	3	1	1	human
crypto_48hr_rep1	sexual	invitro	1	1	1	human
crypto_48hr_rep2	sexual	invitro	2	1	1	human
crypto_48hr_rep3	sexual	invitro	3	1	1	human
