target_id	length	eff_length	est_counts	tpm
EAK90506	2427	2178	47004	505.583
EAZ51553	651	402	1170	68.1828
EAK90507	7425	7176	10004	32.6593
EAK90662	2475	2226	259	2.72577
EAK90508	381	132.001	0	0
EAK90509	1272	1023	0	0
EAK90510	1233	984	29	0.690428
EAK90511	795	546	1834	78.6904
EAZ51554	2739	2490	2312	21.7522
EAK90663	1035	786	9404	280.289
EAK90512	3021	2772	10184	86.0677
EAZ51555	1038	789	23239	690.01
EAK90664	396	147	11044	1760.05
EAK90513	1797	1548	366	5.53892
EAK90514	663	414	72	4.07425
EAZ51556	756	507	11473	530.132
EAK90665	285	42.7398	481	263.65
EAK90515	441	192	26	3.1724
EAK90666	369	120.004	10	1.95217
EAK90517	1059	810	11221	324.535
EAK90516	939	690	42176	1431.96
EAZ51557	639	390	15070	905.24
EAK90518	876	627	3926	146.689
EAK90519	912	663	350	12.3672
EAK90520	2259	2010	32089	374.003
EAK90667	939	690	1625	55.1721
EAK90521	3498	3249	231	1.66563
EAZ51558	1179	930	507	12.7715
EAK90523	1941	1692	40	0.553828
EAK90522	5025	4776	41	0.201111
EAK90526	1377	1128	824	17.1133
EAK90525	558	309	25537	1936.09
EAK90668	1842	1593	318	4.67656
EAK90527	2199	1950	179	2.15047
EAK90528	1125	876	71	1.89876
EAK90529	1968	1719	111376	1517.86
EAK90530	1836	1587	1563	23.0726
EAK90531	1740	1491	142	2.23114
EAK90524	1158	909	37	0.953571
EAK90532	1044	795	275	8.10365
EAZ51559	1218	969	313	7.56721
EAK90533	6129	5880	2496.15	9.94511
EAZ51560	963	714	2473	81.1411
EAK90669	1467	1218	53339.5	1025.93
EAK90504	1353	1104	9376	198.959
EAK90534	3876	3627	1800	11.6263
EAK90670	987	738	2712	86.0892
EAK90671	1014	765	699891	21433.1
EAK90535	645	396	7049	417.011
EAK90536	1731	1482	13865	219.173
EAK90597	327	78.4275	34	10.1561
EAK90672	189	11.6454	0	0
EAK90537	2337	2088	1918	21.5196
EAK90673	282	40.7328	466	268.013
EAK90538	1401	1152	24	0.488061
EAK90539	1209	960	53	1.29336
EAZ51561	1995	1746	39	0.523282
EAK90540	1173	924	28176	714.369
EAK90541	3168	2919	941	7.55215
EAK90543	687	438	5	0.267431
EAK90542	375	126.002	0	0
EAK90544	1845	1596	19533	286.716
EAK90545	1212	963	723	17.5884
EAK90546	948	699	4564	152.962
EAK90547	3129	2880	19098	155.35
EAK90548	1995	1746	2555	34.2817
EAK90549	849	600	7	0.273314
EAK90550	936	687	588	20.051
EAK90551	2340	2091	3986	44.6579
EAK90674	288	44.8343	583	304.63
EAZ51562	528	279	58	4.87011
EAK90553	3720	3471	55	0.371213
EAK90552	1095	846	13	0.359988
EAK90554	441	192	0	0
EAK90556	4158	3909	3813	22.8516
EAK90555	1143	894	1927	50.4963
EAK90557	2073	1824	43346	556.723
EAK90558	4365	4116	96	0.546401
EAK90559	1476	1227	24	0.458228
EAK90675	360	111.014	109235	23051.6
EAK90560	825	576	600	24.403
EAK90676	969	720	156	5.07583
EAK90409	2526	2277	3035	31.2256
EAK90561	1296	1047	5122	114.606
EAK90562	405	156	21	3.15362
EAZ51563	3840	3591	81	0.528427
EAK90563	8331	8082	3682	10.6728
EAK90564	780	531	102	4.50009
EAK90565	1761	1512	311	4.81863
EAK90566	2232	1983	196	2.31552
EAK90567	1512	1263	22	0.40807
EAK90677	1215	966	31	0.751796
EAK90678	3204	2955	2966	23.5141
EAK90568	1737	1488	512	8.06088
EAK90570	861	612	93392	3574.98
EAK90569	1422	1173	135	2.69619
EAK90571	1605	1356	75	1.29574
EAK90572	3063	2814	285	2.37266
EAK90573	4683	4434	92	0.48608
EAK90574	1374	1125	50	1.0412
EAK90575	1053	804	230	6.70173
EAK90576	17499	17250	908	1.23314
EAK90577	435	186	777	97.8641
EAZ51564	753	504	892	41.4619
EAK90679	567	318	2884	212.463
EAZ51565	1320	1071	1434	31.3671
EAK90578	1044	795	83	2.44583
EAK90680	324	75.5516	62	19.2249
EAK90580	1050	801	2408	70.427
EAK90579	1191	942	116	2.88484
EAK90581	2013	1764	601	7.98162
EAK90583	1230	981	1122	26.7941
EAK90681	1776	1527	20570	315.581
EAK90584	4059	3810	1265.98	7.78423
EAZ51566	2298	2049	9	0.1029
EAK90582	3576	3327	97	0.683021
EAK90586	4191	3942	1224	7.27411
EAK90585	3225	2976	8455	66.5573
EAK90587	684	435	4221	227.322
EAK90588	2484	2235	3324	34.8417
EAK90589	3042	2793	4619	38.7429
EAK90590	612	363	666	42.9816
EAK90591	1788	1539	13306	202.546
EAK90592	1374	1125	17082	355.714
EAK90593	987	738	3	0.0952314
EAK90594	306	59.0937	0	0
EAK90682	3129	2880	997	8.10994
EAK90595	12474	12225	937	1.79558
EAK90596	564	315	872.028	64.8538
EAK90186	1740	1491	31	0.487079
EAK90187	4452	4203	9	0.0501647
EAK90598	1638	1389	19	0.320455
EAZ51567	1563	1314	350	6.24005
EAK90188	2463	2214	66	0.698364
EAK90189	3255	3006	503	3.92007
EAK90191	1209	960	1800	43.9255
EAK90190	3039	2790	34779	292.03
EAK90192	582	333	558	39.2559
EAK90193	1017	768	1161	35.4149
EAK90194	1002	753	216	6.72007
EAK90196	2193	1944	2469	29.7536
EAK90195	1884	1635	10217	146.393
EAK90198	378	129.001	17577	3192.02
EAK90199	1392	1143	556	11.3958
EAK90200	1950	1701	545	7.50598
EAK90201	1110	861	4025	109.516
EAK90599	261	29.1283	3710	2983.83
EAZ51568	1035	786	1408	41.9658
EAK90202	1506	1257	596	11.1078
EAK90203	1782	1533	4485	68.5386
EAK90204	3045	2796	93	0.779222
EAK90205	2796	2547	755	6.94438
EAZ51569	252	25.369	11	10.1579
EAK90206	1215	966	32750	794.236
EAZ51570	1599	1350	26474	459.411
EAK90207	2523	2274	5361	55.2294
EAK90600	804	555	2742	115.742
EAK90209	384	135.001	257	44.5977
EAK90208	2466	2217	1777	18.7775
EAZ51571	636	387	828	50.1227
EAK90211	669	420	36920	2059.34
EAK90210	3009	2760	1715	14.5569
EAK90601	471	222	10836	1143.49
EAK90602	2142	1893	166	2.05434
EAK90603	1548	1299	9307	167.848
EAK90212	1035	786	533	15.8862
EAK90604	735	486	65	3.13323
EAK90605	3399	3150	78	0.580095
EAZ51572	648	399	1324	77.7375
EAK90213	1029	780	1106	33.2182
EAK90214	396	147	2775	442.243
EAK90215	2292	2043	98	1.12376
EAZ51573	567	318	230	16.944
EAK90216	4671	4422	58	0.307273
EAK90217	1356	1107	8450	178.823
EAZ51574	1218	969	2567	62.0608
EAK90606	3837	3588	3540	23.1135
EAK90218	321	72.7051	23	7.41103
EAK90220	3912	3663	11347	72.5704
EAK90219	2745	2496	1454	13.6469
EAK90221	4137	3888	32	0.192814
EAK90222	2043	1794	21	0.274228
EAK90223	621	372	0	0
EAK90224	1965	1716	41	0.559734
EAK90225	2031	1782	12124	159.387
EAK90607	4101	3852	1328	8.07657
EAK90226	612	363	59	3.80768
EAK90227	312	64.392	13	4.72962
EAK90608	315	67.1199	10519	3671.46
EAK90228	2457	2208	3378	35.8406
EAK90229	1707	1458	9956	159.971
EAK90609	2811	2562	961	8.78738
EAK90610	435	186	7	0.881658
EAK90230	3327	3078	93	0.707831
EAK90231	1695	1446	0	0
EAK90232	570	321	0	0
EAK90233	1740	1491	203	3.18958
EAK90611	1476	1227	571	10.902
EAK90612	1479	1230	5311	101.155
EAK90234	354	105.028	3014	672.287
EAK90235	2553	2304	43	0.437221
