target_id	length	eff_length	est_counts	tpm
EAK90506	2427	2267	123	50.2416
EAZ51553	651	491.026	42	79.2051
EAK90507	7425	7265	311	39.64
EAK90662	2475	2315	284	113.6
EAK90508	381	223.656	36	149.049
EAK90509	1272	1112	64	53.2949
EAK90510	1233	1073	416	359.008
EAK90511	795	634.995	89	129.786
EAZ51554	2739	2579	151	54.217
EAK90663	1035	874.995	68	71.9635
EAK90512	3021	2861	317	102.601
EAZ51555	1038	877.995	200	210.934
EAK90664	396	238.024	381	1482.22
EAK90513	1797	1637	61	34.5057
EAK90514	663	503.026	164	301.899
EAZ51556	756	595.995	31	48.1646
EAK90665	285	134.951	109	747.926
EAK90515	441	281.948	170	558.327
EAK90666	369	212.003	27	117.932
EAK90517	1059	898.995	58	59.742
EAK90516	939	778.995	187	222.288
EAZ51557	639	479.056	361	697.798
EAK90518	876	715.995	53	68.5448
EAK90519	912	751.995	26	32.016
EAK90520	2259	2099	223	98.379
EAK90667	939	778.995	148	175.928
EAK90521	3498	3338	564	156.46
EAZ51558	1179	1019	171	155.394
EAK90523	1941	1781	281	146.101
EAK90522	5025	4865	8503	1618.45
EAK90526	1377	1217	1452	1104.81
EAK90525	558	398.157	519	1207.04
EAK90668	1842	1682	203	111.758
EAK90527	2199	2039	178	80.8375
EAK90528	1125	964.995	51	48.9389
EAK90529	1968	1808	2675	1370.05
EAK90530	1836	1676	554	306.088
EAK90531	1740	1580	262	153.552
EAK90524	1158	997.995	76	70.517
EAK90532	1044	883.995	9905	10375.6
EAZ51559	1218	1058	63	55.1399
EAK90533	6129	5969	47.2459	7.32945
EAZ51560	963	802.995	68	78.416
EAK90669	1467	1307	241.294	170.955
EAK90504	1353	1193	266	206.468
EAK90534	3876	3716	240	59.806
EAK90670	987	826.995	186	208.266
EAK90671	1014	853.995	830	899.977
EAK90535	645	485.056	97	185.178
EAK90536	1731	1571	37	21.809
EAK90597	327	172.769	6	32.1584
EAK90672	189	58.7311	17	268.034
EAK90537	2337	2177	225	95.7048
EAK90673	282	132.319	52	363.907
EAK90538	1401	1241	12	8.95406
EAK90539	1209	1049	381	336.326
EAZ51561	1995	1835	71	35.8288
EAK90540	1173	1013	53	48.4482
EAK90541	3168	3008	1571	483.624
EAK90543	687	526.995	20	35.1425
EAK90542	375	217.806	5	21.2574
EAK90544	1845	1685	93	51.1085
EAK90545	1212	1052	51	44.8916
EAK90546	948	787.995	29	34.0787
EAK90547	3129	2969	172	53.6448
EAK90548	1995	1835	473	238.69
EAK90549	849	688.995	107	143.806
EAK90550	936	775.995	87	103.817
EAK90551	2340	2180	218	92.5998
EAK90674	288	137.612	17	114.393
EAZ51562	528	368.226	12	30.1769
EAK90553	3720	3560	277	72.0509
EAK90552	1095	934.995	184	182.229
EAK90554	441	281.948	10	32.8427
EAK90556	4158	3998	91	21.077
EAK90555	1143	982.995	92	86.6653
EAK90557	2073	1913	356	172.324
EAK90558	4365	4205	269	59.2374
EAK90559	1476	1316	121	85.1412
EAK90675	360	203.539	366.667	1668.15
EAK90560	825	664.995	8	11.1399
EAK90676	969	808.995	105	120.186
EAK90409	2526	2366	42	16.4378
EAK90561	1296	1136	43	35.051
EAK90562	405	246.714	229	859.508
EAZ51563	3840	3680	1450	364.863
EAK90563	8331	8171	502	56.8902
EAK90564	780	619.995	109	162.797
EAK90565	1761	1601	347	200.7
EAK90566	2232	2072	55	24.5801
