target_id	length	eff_length	est_counts	tpm
EAK90506	2427	1928	2761	183.224
EAZ51553	651	165.541	380	293.699
EAK90507	7425	6926	1629	30.0928
EAK90662	2475	1976	2896	187.515
EAK90508	381	49.5225	0	0
EAK90509	1272	773	98	16.2207
EAK90510	1233	734	5972	1040.99
EAK90511	795	296.507	2234	963.987
EAZ51554	2739	2240	252	14.3938
EAK90663	1035	536	1705	406.989
EAK90512	3021	2522	845	42.8682
EAZ51555	1038	539	4325	1026.65
EAK90664	396	52.3241	0	0
EAK90513	1797	1298	480	47.314
EAK90514	663	175.045	236	172.499
EAZ51556	756	258.494	179	88.5983
EAK90665	285	36.2221	0	0
EAK90515	441	62.3837	0	0
EAK90666	369	47.4494	0	0
EAK90517	1059	560	271	61.9163
EAK90516	939	440.002	1723	501.018
EAZ51557	639	156.416	686	561.135
EAK90518	876	377.033	198	67.1907
EAK90519	912	413.008	39	12.0817
EAK90520	2259	1760	2477	180.068
EAK90667	939	440.002	858	249.491
EAK90521	3498	2999	4666	199.064
EAZ51558	1179	680	4503	847.26
EAK90523	1941	1442	727	64.5049
EAK90522	5025	4526	133179	3764.82
EAK90526	1377	878	12101	1763.4
EAK90525	558	105.647	1112	1346.7
EAK90668	1842	1343	354	33.7249
EAK90527	2199	1700	1302	97.9908
EAK90528	1125	626	252	51.505
EAK90529	1968	1469	6015	523.887
EAK90530	1836	1337	16258	1555.82
EAK90531	1740	1241	469	48.3531
EAK90524	1158	659	817	158.621
EAK90532	1044	545	32341	7592.42
EAZ51559	1218	719	22	3.91487
EAK90533	6129	5630	383.278	8.71021
EAZ51560	963	464.001	55	15.1659
EAK90669	1467	968	229.55	30.3407
EAK90504	1353	854	885	132.589
EAK90534	3876	3377	445	16.8598
EAK90670	987	488	581	152.328
EAK90671	1014	515	19704	4895.2
EAK90535	645	160.929	147	116.871
EAK90536	1731	1232	125	12.9814
EAK90597	327	41.2025	0	0
EAK90672	189	28.0354	0	0
EAK90537	2337	1838	491	34.179
EAK90673	282	35.906	0	0
EAK90538	1401	902	48	6.8086
EAK90539	1209	710	4607	830.201
EAZ51561	1995	1496	108	9.23667
EAK90540	1173	674	180	34.1693
EAK90541	3168	2669	10167	487.38
EAK90543	687	195.094	39	25.5767
EAK90542	375	48.4681	0	0
EAK90544	1845	1346	353	33.5547
EAK90545	1212	713	229	41.0931
EAK90546	948	449.002	225	64.1148
EAK90547	3129	2630	502	24.4214
EAK90548	1995	1496	2278	194.825
EAK90549	849	350.089	74	27.0444
EAK90550	936	437.003	264	77.2935
EAK90551	2340	1841	232	16.1234
EAK90674	288	36.543	0	0
EAZ51562	528	91.5741	1	1.39718
EAK90553	3720	3221	662	26.2961
EAK90552	1095	596	888	190.63
EAK90554	441	62.3837	0	0
EAK90556	4158	3659	99	3.46175
EAK90555	1143	644	139	27.6155
EAK90557	2073	1574	2458	199.802
EAK90558	4365	3866	460	15.2237
EAK90559	1476	977	818	107.123
EAK90675	360	45.985	0	0
EAK90560	825	326.2	241	94.5273
EAK90676	969	470.001	400	108.889
EAK90409	2526	2027	396	24.9957
EAK90561	1296	797	232	37.2437
EAK90562	405	54.1268	0	0
EAZ51563	3840	3341	3931	150.539
EAK90563	8331	7832	1665	27.1998
EAK90564	780	281.782	291	132.13
EAK90565	1761	1262	4250	430.877
EAK90566	2232	1733	122	9.00709
EAK90567	1512	1013	59	7.45188
EAK90677	1215	716	12180	2176.5
EAK90678	3204	2705	343	16.2237
EAK90568	1737	1238	879	90.843
EAK90570	861	362.058	2387	843.525
EAK90569	1422	923	3519	487.799
EAK90571	1605	1106	280	32.3911
EAK90572	3063	2564	172	8.5829
EAK90573	4683	4184	3374	103.176
EAK90574	1374	875	317	46.3527
EAK90575	1053	554	477	110.162
EAK90576	17499	17000	3078	23.1656
EAK90577	435	60.8809	0	0
EAZ51564	753	255.614	35	17.5189
EAK90679	567	110.346	34	39.4225
EAZ51565	1320	821	88	13.714
EAK90578	1044	545	11	2.58238
EAK90680	324	40.809	0	0
EAK90580	1050	551	245	56.8903
EAK90579	1191	692	338	62.4934
EAK90581	2013	1514	432	36.5074
EAK90583	1230	731	221	38.6811
EAK90681	1776	1277	1304	130.65
EAK90584	4059	3560	1757.71	63.1715
EAZ51566	2298	1799	926	65.8572
EAK90582	3576	3077	52	2.16222
EAK90586	4191	3692	1081	37.4617
EAK90585	3225	2726	1496	70.2149
EAK90587	684	192.518	79	52.5025
EAK90588	2484	1985	1650	106.352
EAK90589	3042	2543	3366	169.352
EAK90590	612	137.362	81	75.4472
EAK90591	1788	1289	302	29.9763
EAK90592	1374	875	195	28.5135
EAK90593	987	488	262	68.6918
EAK90594	306	38.5757	0	0
EAK90682	3129	2630	1477	71.8535
EAK90595	12474	11975	1017	10.866
EAK90596	564	108.755	587	690.58
EAK90186	1740	1241	70	7.21688
EAK90187	4452	3953	107	3.46322
EAK90598	1638	1139	188	21.1182
EAZ51567	1563	1064	45	5.41121
EAK90188	2463	1964	1155	75.2426
EAK90189	3255	2756	4481	208.027
EAK90191	1209	710	649	116.953
EAK90190	3039	2540	4929	248.284
EAK90192	582	118.692	496	534.666
EAK90193	1017	518	410	101.269
EAK90194	1002	503	301	76.5635
EAK90196	2193	1694	1004	75.8305
EAK90195	1884	1385	1169	107.991
EAK90198	378	48.9908	0	0
EAK90199	1392	893	1600	229.241
EAK90200	1950	1451	2549	224.764
EAK90201	1110	611	952	199.351
EAK90599	261	33.8207	0	0
EAZ51568	1035	536	188	44.8762
EAK90202	1506	1007	204	25.9194
EAK90203	1782	1283	747	74.4933
EAK90204	3045	2546	739	37.1372
EAK90205	2796	2297	1635	91.071
EAZ51569	252	32.9903	0	0
EAK90206	1215	716	1504	268.756
EAZ51570	1599	1100	3189	370.924
EAK90207	2523	2024	728	46.0198
EAK90600	804	305.387	220	92.1712
EAK90209	384	50.0635	0	0
EAK90208	2466	1967	200	13.0092
EAZ51571	636	154.196	146	121.144
EAK90211	669	179.932	335	238.21
EAK90210	3009	2510	123	6.26982
