target_id	length	eff_length	est_counts	tpm
EAK90506	2427	1928	88	101.688
EAZ51553	651	165.541	4	53.8334
EAK90507	7425	6926	78	25.0904
EAK90662	2475	1976	91	102.601
EAK90508	381	49.5225	0	0
EAK90509	1272	773	1	2.88215
EAK90510	1233	734	0	0
EAK90511	795	296.507	0	0
EAZ51554	2739	2240	33	32.8218
EAK90663	1035	536	71	295.114
EAK90512	3021	2522	236	208.479
EAZ51555	1038	539	150	620.009
EAK90664	396	52.3241	0	0
EAK90513	1797	1298	13	22.3133
EAK90514	663	175.045	2	25.4552
EAZ51556	756	258.494	23	198.231
EAK90665	285	36.2221	0	0
EAK90515	441	62.3837	0	0
EAK90666	369	47.4494	0	0
EAK90517	1059	560	8	31.8272
EAK90516	939	440.002	372	1883.58
EAZ51557	639	156.416	181	2578.07
EAK90518	876	377.033	62	366.36
EAK90519	912	413.008	0	0
EAK90520	2259	1760	41	51.9
EAK90667	939	440.002	28	141.775
EAK90521	3498	2999	35	26.0008
EAZ51558	1179	680	29	95.0134
EAK90523	1941	1442	41	63.3453
EAK90522	5025	4526	0	0
EAK90526	1377	878	5	12.6874
EAK90525	558	105.647	238	5018.97
EAK90668	1842	1343	43	71.3326
EAK90527	2199	1700	21	27.5211
EAK90528	1125	626	15	53.3842
EAK90529	1968	1469	1481	2246.1
EAK90530	1836	1337	163	271.614
EAK90531	1740	1241	3	5.38574
EAK90524	1158	659	7	23.6651
EAK90532	1044	545	9	36.791
EAZ51559	1218	719	5	15.4931
EAK90533	6129	5630	12	4.74863
EAZ51560	963	464.001	2	9.60301
EAK90669	1467	968	32.6839	75.2237
EAK90504	1353	854	23	60.002
EAK90534	3876	3377	13	8.57646
EAK90670	987	488	127	579.802
EAK90671	1014	515	2219	9599.44
EAK90535	645	160.929	14	193.816
EAK90536	1731	1232	50	90.418
EAK90597	327	41.2025	0	0
EAK90672	189	28.0354	0	0
EAK90537	2337	1838	18	21.8184
EAK90673	282	35.906	0	0
EAK90538	1401	902	1	2.46996
EAK90539	1209	710	269	844.092
EAZ51561	1995	1496	10	14.8924
EAK90540	1173	674	30	99.1647
EAK90541	3168	2669	125	104.342
EAK90543	687	195.094	1	11.4196
EAK90542	375	48.4681	0	0
EAK90544	1845	1346	123	203.59
EAK90545	1212	713	10	31.2469
EAK90546	948	449.002	45	223.285
EAK90547	3129	2630	87	73.6986
EAK90548	1995	1496	234	348.482
EAK90549	849	350.089	0	0
EAK90550	936	437.003	9	45.8832
EAK90551	2340	1841	10	12.1016
EAK90674	288	36.543	0	0
EAZ51562	528	91.5741	0	0
EAK90553	3720	3221	12	8.30016
EAK90552	1095	596	22	82.2379
EAK90554	441	62.3837	0	0
EAK90556	4158	3659	6	3.65329
EAK90555	1143	644	14	48.4326
EAK90557	2073	1574	176	249.117
EAK90558	4365	3866	2	1.15256
EAK90559	1476	977	29	66.1301
EAK90675	360	45.985	0	0
