species	taxid	gene_stable_id	transcript_stable_id	protein_stable_id	primary_accession	secondary_accession
Cryptosporidium_parvum_iowa_ii	353152	cgd1_10	EAK88544	EAK88544	CM000429	EAK88544
Cryptosporidium_parvum_iowa_ii	353152	cgd1_100	EAK88533	EAK88533	CM000429	EAK88533
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1000	EAK88480	EAK88480	CM000429	EAK88480
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1010	EAK88479	EAK88479	CM000429	EAK88479
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1020	EAK88463	EAK88463	CM000429	EAK88463
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1030	EAK88478	EAK88478	CM000429	EAK88478
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1040	EAK88477	EAK88477	CM000429	EAK88477
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1050	EAK88475	EAK88475	CM000429	EAK88475
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1060	EAK88476	EAK88476	CM000429	EAK88476
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1070	EAK88580	EAK88580	CM000429	EAK88580
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1080	EAK88579	EAK88579	CM000429	EAK88579
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1090	EAK88474	EAK88474	CM000429	EAK88474
Cryptosporidium_parvum_iowa_ii	353152	cgd1_110	EAK88538	EAK88538	CM000429	EAK88538
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1100	EAK88473	EAK88473	CM000429	EAK88473
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1110	EAK88472	EAK88472	CM000429	EAK88472
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1120	EAK88578	EAK88578	CM000429	EAK88578
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1130	EAK88464	EAK88464	CM000429	EAK88464
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1140	EAZ51328	EAZ51328	CM000429	EAZ51328
