target_id	length	eff_length	est_counts	tpm
EAK90506	2427	1928	4	17.7981
EAZ51553	651	165.541	1	51.8222
EAK90507	7425	6926	5	6.19309
EAK90662	2475	1976	40	173.657
EAK90508	381	49.5225	0	0
EAK90509	1272	773	5	55.4895
EAK90510	1233	734	65	759.692
EAK90511	795	296.507	5	144.662
EAZ51554	2739	2240	3	11.4893
EAK90663	1035	536	6	96.0299
EAK90512	3021	2522	8	27.2123
EAZ51555	1038	539	7	111.411
EAK90664	396	52.3241	0	0
EAK90513	1797	1298	2	13.2183
EAK90514	663	175.045	6	294.05
EAZ51556	756	258.494	2	66.3742
EAK90665	285	36.2221	0	0
EAK90515	441	62.3837	0	0
EAK90666	369	47.4494	0	0
EAK90517	1059	560	0	0
EAK90516	939	440.002	16	311.95
EAZ51557	639	156.416	21	1151.75
EAK90518	876	377.033	1	22.7531
EAK90519	912	413.008	3	62.3136
EAK90520	2259	1760	10	48.7425
EAK90667	939	440.002	15	292.453
EAK90521	3498	2999	55	157.328
EAZ51558	1179	680	71	895.714
EAK90523	1941	1442	11	65.4406
EAK90522	5025	4526	828	1569.41
EAK90526	1377	878	109	1065.01
EAK90525	558	105.647	28	2273.63
EAK90668	1842	1343	8	51.1015
EAK90527	2199	1700	20	100.926
EAK90528	1125	626	0	0
EAK90529	1968	1469	302	1763.62
EAK90530	1836	1337	47	301.569
EAK90531	1740	1241	5	34.5635
EAK90524	1158	659	1	13.0177
EAK90532	1044	545	684	10766.6
EAZ51559	1218	719	0	0
EAK90533	6129	5630	4	6.09497
EAZ51560	963	464.001	0	0
EAK90669	1467	968	0	0
EAK90504	1353	854	4	40.1811
EAK90534	3876	3377	2	5.08065
EAK90670	987	488	12	210.951
EAK90671	1014	515	211	3514.76
EAK90535	645	160.929	1	53.3071
EAK90536	1731	1232	2	13.9264
EAK90597	327	41.2025	0	0
EAK90672	189	28.0354	0	0
EAK90537	2337	1838	4	18.6696
EAK90673	282	35.906	0	0
EAK90538	1401	902	1	9.51072
EAK90539	1209	710	7	84.5785
EAZ51561	1995	1496	2	11.4688
EAK90540	1173	674	6	76.368
